iter	Passed	Remaining
0	81	81152
1	82	40918
2	82	27494
3	83	20824
4	84	16813
5	85	14142
6	86	12206
7	86	10744
8	87	9616
9	87	8706
10	88	7959
11	89	7339
12	89	6812
13	91	6412
14	92	6048
15	92	5714
16	93	5420
17	94	5149
18	95	4905
19	95	4683
20	96	4483
21	96	4304
22	97	4146
23	100	4085
24	101	3941
25	101	3801
26	101	3669
27	102	3545
28	102	3431
29	102	3326
30	103	3226
31	103	3134
32	104	3047
33	104	2966
34	104	2888
35	105	2815
36	105	2747
37	106	2684
38	106	2623
39	107	2570
40	107	2516
41	108	2464
42	108	2413
43	108	2365
44	109	2318
45	109	2273
46	109	2230
47	110	2188
48	110	2149
49	111	2111
50	111	2075
51	111	2039
52	112	2005
53	112	1973
54	113	1941
55	113	1911
56	113	1882
57	114	1854
58	114	1829
59	115	1804
60	115	1781
61	116	1757
62	116	1733
63	116	1710
64	117	1687
65	117	1666
66	118	1644
67	118	1624
68	118	1603
69	119	1583
70	119	1564
71	119	1544
72	120	1526
73	120	1509
74	120	1491
75	121	1474
76	121	1457
77	121	1441
78	122	1426
79	122	1411
80	123	1397
81	123	1383
82	123	1367
83	124	1353
84	124	1339
85	124	1326
86	125	1313
87	125	1300
88	126	1292
89	126	1282
90	127	1271
91	127	1259
92	127	1248
93	128	1236
94	129	1235
95	130	1231
96	131	1221
97	131	1211
98	132	1201
99	132	1190
100	132	1180
101	133	1171
102	133	1161
103	133	1151
104	133	1142
105	134	1132
106	134	1123
107	134	1113
108	135	1104
109	135	1097
110	136	1089
111	137	1092
112	138	1086
113	138	1077
114	138	1069
115	139	1062
116	139	1054
117	139	1046
118	140	1038
119	140	1031
120	140	1024
121	141	1016
122	141	1008
123	141	1001
124	142	994
125	142	987
126	142	979
127	142	972
128	143	967
129	143	963
130	144	960
131	145	958
132	146	952
133	146	946
134	146	940
135	147	934
136	147	928
137	147	922
138	148	916
139	148	911
140	148	905
141	148	899
142	149	894
143	149	889
144	149	884
145	150	880
146	151	877
